column	type	best_encoding	compression	winner_metric	physical_bytes	baseline_encoded_bytes	target_bytes	encoded_bytes	compressed_bytes	post_compression_no_encoding_bytes	post_compression_no_encoding_ratio	post_encoding_ratio	post_compression_ratio	encoding_compression_ratio_improvement_pct	codec_ratio	int_encoding	date_encoding	timestamp_encoding	string_encoding	experiment	result_file	column_stats_tsv
ResponseStartTiming	int32	plain	zstd-3	compressed_bytes	4000000	4005050	1245745	4003643	1245745	1245891	3.214607	1.000351	3.214984	0.011720	3.213854	plain	delta-binary-packed	rle-dict	delta-byte-array	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict_columns.tsv
Robotness	int16	plain	zstd-3	compressed_bytes	4000000	4005054	173390	4003775	173390	173697	23.057704	1.000319	23.098529	0.177058	23.091153	plain	delta-binary-packed	rle-dict	rle-dict	rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-delta-binary-packed-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-delta-binary-packed-ts-rle-dict_columns.tsv
SearchEngineID	int16	rle-dict	zstd-3	compressed_bytes	4000000	4005050	75997	166419	75997	101613	39.414740	24.066062	52.700107	33.706594	2.189810	rle-dict	delta-binary-packed	delta-binary-packed	delta-length-byte-array	rows-1000000-comp-zstd-3-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-delta-length-byte-array-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv
SearchPhrase	string	rle-dict	zstd-3	compressed_bytes	3528017	7537911	635270	1641728	635270	719930	10.470339	4.591449	11.865681	13.326617	2.584300	rle-dict	delta-binary-packed	delta-binary-packed	rle-dict	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv
SendTiming	int32	plain	zstd-3	compressed_bytes	4000000	4005054	61415	4003537	61415	61444	65.182182	1.000379	65.212961	0.047220	65.188260	plain	rle-dict	delta-binary-packed	delta-byte-array	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-rle-dict-ts-delta-binary-packed_columns.tsv
Sex	int16	rle-dict	zstd-3	compressed_bytes	4000000	4005052	80090	133318	80090	107976	37.092057	30.041345	50.006892	34.818329	1.664602	rle-dict	plain	plain	plain	rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-plain-ts-plain_columns.tsv
SilverlightVersion1	int16	rle-dict	zstd-3	compressed_bytes	4000000	4005050	82970	155404	82970	90600	44.205850	25.771859	48.271062	9.196095	1.873014	rle-dict	plain	delta-binary-packed	delta-length-byte-array	rows-1000000-comp-zstd-3-int-rle-dict-str-delta-length-byte-array-date-plain-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-delta-length-byte-array-date-plain-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-delta-length-byte-array-date-plain-ts-delta-binary-packed_columns.tsv
SilverlightVersion2	int16	rle-dict	zstd-3	compressed_bytes	4000000	4005055	56055	88952	56055	74028	54.101894	45.024901	71.448666	32.063152	1.586870	rle-dict	delta-binary-packed	rle-dict	delta-byte-array	rows-1000000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-rle-dict_columns.tsv
SilverlightVersion3	int32	rle-dict	zstd-3	compressed_bytes	4000000	4005051	123341	231114	123341	123785	32.354898	17.329331	32.471368	0.359978	1.873781	rle-dict	delta-binary-packed	delta-binary-packed	delta-byte-array	rows-1000000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-delta-byte-array-date-delta-binary-packed-ts-delta-binary-packed_columns.tsv
SilverlightVersion4	int16	plain	zstd-3	compressed_bytes	4000000	4005054	4357	4003528	4357	4368	916.907967	1.000381	919.222860	0.252467	918.872619	plain	delta-binary-packed	plain	delta-length-byte-array	rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-256kib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-delta-binary-packed-ts-plain_columns.tsv
