column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_vs_plain_pct	winner_by_allocated_bytes	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages
Robotness	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	1567.000000	2762.000000	76.260370	plain	1567.000000	2762.000000	1	1	0	0	0	0
SendTiming	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
SilverlightVersion1	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	611.000000	840.000000	37.479542	plain	611.000000	840.000000	1	1	0	0	0	0
SilverlightVersion3	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	1121.000000	1238.000000	10.437110	plain	1121.000000	1238.000000	1	1	0	0	0	0
SilverlightVersion4	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
SocialAction	STRING	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	48.000000	89.000000	85.416667	plain	48.000000	89.000000	1	1	0	0	0	0
SocialNetwork	STRING	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	48.000000	89.000000	85.416667	plain	48.000000	89.000000	1	1	0	0	0	0
SocialSourceNetworkID	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	100.000000	120.000000	20.000000	plain	100.000000	120.000000	1	1	0	0	0	0
SocialSourcePage	STRING	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	98.000000	120.000000	22.448980	plain	98.000000	120.000000	1	1	0	0	0	0
URLHash	INT(64,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	27185.000000	35278.000000	29.770094	plain	27185.000000	35278.000000	1	1	0	0	0	0
URLRegionID	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	445.000000	448.000000	0.674157	plain	445.000000	448.000000	1	1	0	0	0	0
UserAgent	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	1421.000000	1470.000000	3.448276	plain	1421.000000	1470.000000	1	1	0	0	0	0
UserAgentMajor	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	1526.000000	2095.000000	37.287025	plain	1526.000000	2095.000000	1	1	0	0	0	0
UserID	INT(64,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	5858.000000	10018.000000	71.013998	plain	5858.000000	10018.000000	1	1	0	0	0	0
WatchID	INT(64,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	80092.000000	97630.000000	21.897318	plain	80092.000000	97630.000000	1	1	0	0	0	0
WindowClientHeight	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	2425.000000	5983.000000	146.721649	plain	2425.000000	5983.000000	1	1	0	0	0	0
WindowClientWidth	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	2986.000000	4128.000000	38.245144	plain	2986.000000	4128.000000	1	1	0	0	0	0
WindowName	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	103.000000	124.000000	20.388350	plain	103.000000	124.000000	1	1	0	0	0	0
WithHash	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
