column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_vs_plain_pct	winner_by_allocated_bytes	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages
UTMSource	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	500.000000	379.000000	-24.200000	rle-dict	500.000000	379.000000	1	0	1	0	0	0
UTMTerm	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	327.000000	306.000000	-6.422018	rle-dict	327.000000	306.000000	1	0	1	0	0	0
UserAgentMinor	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	1802.000000	1278.000000	-29.078801	rle-dict	1802.000000	1278.000000	1	0	1	0	0	0
CLID	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
ClientEventTime	TIMESTAMP(isAdjustedToUTC=true,unit=MILLIS)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	17067.000000	32305.000000	89.283412	plain	17067.000000	32305.000000	1	1	0	0	0	0
ClientIP	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	3641.000000	7233.000000	98.654216	plain	3641.000000	7233.000000	1	1	0	0	0	0
CodeVersion	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	232.000000	249.000000	7.327586	plain	232.000000	249.000000	1	1	0	0	0	0
ConnectTiming	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	1748.000000	2001.000000	14.473684	plain	1748.000000	2001.000000	1	1	0	0	0	0
CookieEnable	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	235.000000	250.000000	6.382979	plain	235.000000	250.000000	1	1	0	0	0	0
CounterClass	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
CounterID	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	89.000000	119.000000	33.707865	plain	89.000000	119.000000	1	1	0	0	0	0
DNSTiming	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	839.000000	1113.000000	32.657926	plain	839.000000	1113.000000	1	1	0	0	0	0
DontCountHits	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	176.000000	212.000000	20.454545	plain	176.000000	212.000000	1	1	0	0	0	0
EventDate	DATE	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	85.000000	105.000000	23.529412	plain	85.000000	105.000000	1	1	0	0	0	0
EventTime	TIMESTAMP(isAdjustedToUTC=true,unit=MILLIS)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	18240.000000	33469.000000	83.492325	plain	18240.000000	33469.000000	1	1	0	0	0	0
FUniqID	INT(64,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	6080.000000	9361.000000	53.963816	plain	6080.000000	9361.000000	1	1	0	0	0	0
FetchTiming	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	4732.000000	6096.000000	28.825021	plain	4732.000000	6096.000000	1	1	0	0	0	0
FromTag	STRING	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	48.000000	89.000000	85.416667	plain	48.000000	89.000000	1	1	0	0	0	0
GoodEvent	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	85.000000	105.000000	23.529412	plain	85.000000	105.000000	1	1	0	0	0	0
HID	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	24108.000000	35988.000000	49.278248	plain	24108.000000	35988.000000	1	1	0	0	0	0
HTTPError	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
HistoryLength	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	95.000000	117.000000	23.157895	plain	95.000000	117.000000	1	1	0	0	0	0
HitColor	STRING	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	126.000000	139.000000	10.317460	plain	126.000000	139.000000	1	1	0	0	0	0
IPNetworkID	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	2953.000000	6058.000000	105.147308	plain	2953.000000	6058.000000	1	1	0	0	0	0
Interests	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	1861.000000	2885.000000	55.024181	plain	1861.000000	2885.000000	1	1	0	0	0	0
IsDownload	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
