column	type	scope	winner_metric	compression	column_config_encoding	int_encoding	date_encoding	timestamp_encoding	string_encoding	physical_bytes	baseline_encoded_bytes	encoded_bytes	compressed_bytes	post_compression_no_encoding_bytes	post_compression_no_encoding_ratio	target_bytes	post_encoding_ratio	post_compression_ratio	encoding_compression_ratio_improvement_pct	codec_ratio	experiment	result_file	column_stats_tsv
BrowserCountry	string	zstd-3	compressed_bytes	zstd-3	rle-dict	rle-dict	plain	plain	rle-dict	3325142	7329878	136716	69316	122222	59.971838	69316	53.613900	105.745831	76.325812	1.972358	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv
BrowserCountry	string	overall	compressed_bytes	zstd-3	rle-dict	rle-dict	plain	plain	rle-dict	3325142	7329878	136716	69316	122222	59.971838	69316	53.613900	105.745831	76.325812	1.972358	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv
BrowserLanguage	string	none	encoded_bytes	none	rle-dict	rle-dict	rle-dict	rle-dict	rle-dict	2001192	6005761	42940	42940	6005761	1.000000	42940	139.864020			1.000000	rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv
BrowserLanguage	string	snappy	compressed_bytes	snappy	rle-dict	rle-dict	plain	plain	rle-dict	2001192	6005761	42617	34489	321313	18.691310	34489	140.924068	174.135550	831.639073	1.235669	rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv
BrowserLanguage	string	zstd-3	compressed_bytes	zstd-3	rle-dict	rle-dict	rle-dict	plain	rle-dict	2001192	6005761	42266	27489	32361	185.586385	27489	142.094378	218.478701	17.723453	1.537560	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv
BrowserLanguage	string	overall	compressed_bytes	zstd-3	rle-dict	rle-dict	rle-dict	plain	rle-dict	2001192	6005761	42266	27489	32361	185.586385	27489	142.094378	218.478701	17.723453	1.537560	rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv
CLID	int32	none	encoded_bytes	none	rle-dict	rle-dict	plain	plain	rle-dict	4000000	4005054	6803	6803	4005054	1.000000	6803	588.718801			1.000000	rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv
CLID	int32	snappy	compressed_bytes	snappy	rle-dict	rle-dict	rle-dict	plain	delta-byte-array	4000000	4005054	6085	6322	204666	19.568731	6322	658.184717	633.510598	3137.361594	0.962512	rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv
CLID	int32	zstd-3	compressed_bytes	zstd-3	plain	plain	plain	plain	plain	4000000	4005054	4003542	5641	5641	709.990073	5641	1.000378	709.990073	0.000000	709.722035	rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
CLID	int32	overall	compressed_bytes	zstd-3	plain	plain	plain	plain	plain	4000000	4005054	4003542	5641	5641	709.990073	5641	1.000378	709.990073	0.000000	709.722035	rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
ClientEventTime	timestamp_millis	none	encoded_bytes	none	rle-dict	plain	rle-dict	rle-dict	delta-byte-array	8000000	8006314	7210453	7210453	8006314	1.000000	7210453	1.110376			1.000000	rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-delta-byte-array-date-rle-dict-ts-rle-dict_columns.tsv
ClientEventTime	timestamp_millis	snappy	compressed_bytes	snappy	plain	rle-dict	rle-dict	plain	plain	8000000	8006314	8004794	4228484	4229160	1.893122	4228484	1.000190	1.893424	0.015987	1.893065	rows-1000000-comp-snappy-int-rle-dict-str-plain-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-plain-date-rle-dict-ts-plain_columns.tsv
ClientEventTime	timestamp_millis	zstd-3	compressed_bytes	zstd-3	plain	plain	plain	plain	rle-dict	8000000	8006314	8004715	2474364	2475752	3.233892	2474364	1.000200	3.235706	0.056095	3.235060	rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv
ClientEventTime	timestamp_millis	overall	compressed_bytes	zstd-3	plain	plain	plain	plain	rle-dict	8000000	8006314	8004715	2474364	2475752	3.233892	2474364	1.000200	3.235706	0.056095	3.235060	rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv
ClientIP	int32	none	encoded_bytes	none	rle-dict	rle-dict	plain	plain	plain	4000000	4005050	903734	903734	4005050	1.000000	903734	4.431669			1.000000	rows-1000000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-plain-date-plain-ts-plain_columns.tsv
ClientIP	int32	snappy	compressed_bytes	snappy	plain	plain	rle-dict	plain	delta-byte-array	4000000	4005050	4003770	719081	719481	5.566582	719081	1.000320	5.569679	0.055627	5.567898	rows-1000000-comp-snappy-int-plain-str-delta-byte-array-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv
ClientIP	int32	zstd-3	compressed_bytes	zstd-3	plain	plain	plain	plain	delta-byte-array	4000000	4005050	4003592	408058	408069	9.814639	408058	1.000364	9.814904	0.002696	9.811331	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv
ClientIP	int32	overall	compressed_bytes	zstd-3	plain	plain	plain	plain	delta-byte-array	4000000	4005050	4003592	408058	408069	9.814639	408058	1.000364	9.814904	0.002696	9.811331	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv
ClientTimeZone	int16	none	encoded_bytes	none	rle-dict	rle-dict	rle-dict	plain	delta-byte-array	4000000	4005051	161814	161814	4005051	1.000000	161814	24.750955			1.000000	rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv
ClientTimeZone	int16	snappy	compressed_bytes	snappy	rle-dict	rle-dict	rle-dict	plain	delta-byte-array	4000000	4005051	162472	110114	285815	14.012739	110114	24.650715	36.371860	159.562817	1.475489	rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv
ClientTimeZone	int16	zstd-3	compressed_bytes	zstd-3	rle-dict	rle-dict	rle-dict	plain	plain	4000000	4005051	164301	84413	99924	40.080972	84413	24.376303	47.445903	18.375132	1.946395	rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-rle-dict-ts-plain_columns.tsv
ClientTimeZone	int16	overall	compressed_bytes	zstd-3	rle-dict	rle-dict	rle-dict	plain	plain	4000000	4005051	164301	84413	99924	40.080972	84413	24.376303	47.445903	18.375132	1.946395	rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-plain-date-rle-dict-ts-plain_columns.tsv
CodeVersion	int32	none	encoded_bytes	none	rle-dict	rle-dict	rle-dict	rle-dict	rle-dict	4000000	4005053	7859	7859	4005053	1.000000	7859	509.613564			1.000000	rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv
CodeVersion	int32	snappy	compressed_bytes	snappy	rle-dict	rle-dict	rle-dict	rle-dict	delta-byte-array	4000000	4005053	7136	7360	205215	19.516376	7360	561.246216	544.164810	2688.247283	0.969565	rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict_columns.tsv
CodeVersion	int32	zstd-3	compressed_bytes	zstd-3	plain	plain	rle-dict	plain	delta-byte-array	4000000	4005053	4003547	7031	7064	566.966733	7031	1.000376	569.627791	0.469350	569.413597	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv
CodeVersion	int32	overall	compressed_bytes	zstd-3	plain	plain	rle-dict	plain	delta-byte-array	4000000	4005053	4003547	7031	7064	566.966733	7031	1.000376	569.627791	0.469350	569.413597	rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-rle-dict-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv
ConnectTiming	int32	none	encoded_bytes	none	rle-dict	rle-dict	plain	plain	rle-dict	4000000	4005051	700109	700109	4005051	1.000000	700109	5.720611			1.000000	rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv
ConnectTiming	int32	snappy	compressed_bytes	snappy	rle-dict	rle-dict	plain	plain	delta-byte-array	4000000	4005051	700120	462272	564916	7.089640	462272	5.720521	8.663841	22.204243	1.514520	rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-plain	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-delta-byte-array-date-plain-ts-plain_columns.tsv
ConnectTiming	int32	zstd-3	compressed_bytes	zstd-3	plain	plain	rle-dict	rle-dict	delta-length-byte-array	4000000	4005051	4003660	333011	333314	12.015850	333011	1.000347	12.026783	0.090988	12.022606	rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-delta-length-byte-array-date-rle-dict-ts-rle-dict_columns.tsv
