column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_to_plain_ratio	best_pagewise_allocated_compressed_bytes	best_pagewise_savings_vs_plain_bytes	best_pagewise_allocated_to_plain_ratio	uncompressed_bytes_for_ratio	plain_zstd_aggregate_to_uncompressed_ratio	rle_dict_zstd_aggregate_to_uncompressed_ratio	best_pagewise_zstd_aggregate_to_uncompressed_ratio	rle_dict_ratio_advantage_vs_plain	absolute_plain_rle_ratio_difference	winner_by_allocated_bytes	rle_dict_allocated_compressed_bytes_without_dictionary_pages	rle_dict_without_dictionary_allocated_to_plain_ratio	winner_without_dictionary_pages	rle_dict_without_dictionary_overhead_flip_window_wins	rle_dict_without_dictionary_overhead_flip_window_win_pct	rle_dict_without_dictionary_overhead_flip_rows	rle_dict_without_dictionary_overhead_flip_row_pct	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	rle_dict_total_page_compressed_bytes_without_dictionary_pages	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages	plain_zstd_to_uncompressed_ratio_count	plain_zstd_to_uncompressed_ratio_min	plain_zstd_to_uncompressed_ratio_median	plain_zstd_to_uncompressed_ratio_max	rle_dict_zstd_to_uncompressed_ratio_count	rle_dict_zstd_to_uncompressed_ratio_min	rle_dict_zstd_to_uncompressed_ratio_median	rle_dict_zstd_to_uncompressed_ratio_max	plain_win_plain_zstd_to_uncompressed_ratio_count	plain_win_plain_zstd_to_uncompressed_ratio_min	plain_win_plain_zstd_to_uncompressed_ratio_median	plain_win_plain_zstd_to_uncompressed_ratio_max	plain_win_rle_dict_zstd_to_uncompressed_ratio_count	plain_win_rle_dict_zstd_to_uncompressed_ratio_min	plain_win_rle_dict_zstd_to_uncompressed_ratio_median	plain_win_rle_dict_zstd_to_uncompressed_ratio_max	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_count	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_min	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_median	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_max	rle_dict_win_plain_zstd_to_uncompressed_ratio_count	rle_dict_win_plain_zstd_to_uncompressed_ratio_min	rle_dict_win_plain_zstd_to_uncompressed_ratio_median	rle_dict_win_plain_zstd_to_uncompressed_ratio_max
HitColor	STRING	57	60	116	1000000	47	69	0	40.517241	59.482759	0.000000	344752	655248	0	34.475200	65.524800	0.000000	29173.000000	25054.000000	0.858808	23654.904363	5518.095637	0.810849	5002901.000000	0.005831	0.005008	0.004728	0.000823	0.000823	rle-dict	22594.000000	0.774483	rle-dict	28	24.137931	225289	22.528900	29173.000000	25054.000000	22594.000000	0	0	0	0	57	60	116	0.001208	0.002415	0.043844	116	0.001274	0.003346	0.030877	47	0.001208	0.002182	0.023139	47	0.001326	0.003525	0.030817	69	0.001274	0.003312	0.030877	69	0.001289	0.003615	0.043844
BrowserLanguage	STRING	57	60	116	1000000	19	97	0	16.379310	83.620690	0.000000	108497	891503	0	10.849700	89.150300	0.000000	32361.000000	27773.000000	0.858224	27651.269085	4709.730915	0.854463	6004438.000000	0.005390	0.004625	0.004605	0.000764	0.000764	rle-dict	22921.000000	0.708291	rle-dict	17	14.655172	107690	10.769000	32361.000000	27773.000000	22921.000000	0	0	0	0	57	60	116	0.002387	0.004806	0.009101	116	0.002538	0.004423	0.007294	19	0.002387	0.002958	0.005753	19	0.002632	0.003198	0.006173	97	0.002538	0.005098	0.007294	97	0.002804	0.005986	0.009101
UTMSource	STRING	57	60	116	1000000	41	75	0	35.344828	64.655172	0.000000	367562	632438	0	36.756200	63.243800	0.000000	21033.000000	18473.000000	0.878287	17226.943712	3806.056288	0.819044	4053208.000000	0.005189	0.004558	0.004250	0.000632	0.000632	rle-dict	13363.000000	0.635335	rle-dict	31	26.724138	293720	29.372000	21033.000000	18473.000000	13363.000000	0	0	0	0	57	60	116	0.000641	0.005433	0.009508	116	0.001305	0.004928	0.006590	41	0.000641	0.003255	0.004604	41	0.001305	0.004271	0.005760	75	0.001364	0.005193	0.006590	75	0.002347	0.006597	0.009508
UTMMedium	STRING	57	60	116	1000000	39	77	0	33.620690	66.379310	0.000000	328680	671320	0	32.868000	67.132000	0.000000	16986.000000	14496.000000	0.853409	13706.174968	3279.825032	0.806910	4019934.000000	0.004225	0.003606	0.003410	0.000619	0.000619	rle-dict	11433.000000	0.673084	rle-dict	27	23.275862	228017	22.801700	16986.000000	14496.000000	11433.000000	0	0	0	0	57	60	116	0.000641	0.004264	0.007664	116	0.001305	0.003778	0.005581	39	0.000641	0.002619	0.005385	39	0.001305	0.003250	0.005581	77	0.001367	0.004102	0.005551	77	0.002040	0.005335	0.007664
UTMCampaign	STRING	57	60	116	1000000	39	77	0	33.620690	66.379310	0.000000	363098	636902	0	36.309800	63.690200	0.000000	29858.000000	27397.000000	0.917577	25503.422860	4354.577140	0.854157	4097442.000000	0.007287	0.006686	0.006224	0.000601	0.000601	rle-dict	15967.000000	0.534765	rle-dict	29	25.000000	288256	28.825600	29858.000000	27397.000000	15967.000000	0	0	0	0	57	60	116	0.000641	0.008040	0.011798	116	0.001305	0.007282	0.009934	39	0.000641	0.004914	0.008241	39	0.001305	0.006322	0.009934	77	0.001362	0.007452	0.008876	77	0.003504	0.009296	0.011798
MobilePhoneModel	STRING	57	60	116	1000000	39	77	0	33.620690	66.379310	0.000000	334137	665863	0	33.413700	66.586300	0.000000	22607.000000	20619.000000	0.912063	20203.466699	2403.533301	0.893682	4084882.000000	0.005534	0.005048	0.004946	0.000487	0.000487	rle-dict	16740.000000	0.740479	rle-dict	32	27.586207	322458	32.245800	22607.000000	20619.000000	16740.000000	0	0	0	0	57	60	116	0.003068	0.005731	0.011062	116	0.003162	0.004940	0.008838	39	0.003068	0.004153	0.008173	39	0.003293	0.004823	0.008711	77	0.003162	0.005150	0.008838	77	0.003290	0.005958	0.011062
OpenstatServiceName	STRING	57	60	116	1000000	35	81	0	30.172414	69.827586	0.000000	240681	759319	0	24.068100	75.931900	0.000000	19232.000000	17819.000000	0.926529	17230.143002	2001.856998	0.895910	4062525.000000	0.004734	0.004386	0.004241	0.000348	0.000348	rle-dict	14225.000000	0.739653	rle-dict	32	27.586207	209335	20.933500	19232.000000	17819.000000	14225.000000	0	0	0	0	57	60	116	0.002114	0.004650	0.007738	116	0.002528	0.004411	0.006728	35	0.002114	0.004303	0.006664	35	0.002533	0.005024	0.006680	81	0.002528	0.004262	0.006728	81	0.002679	0.004942	0.007738
PageCharset	STRING	85	60	144	1000000	40	104	0	27.777778	72.222222	0.000000	313297	686703	0	31.329700	68.670300	0.000000	14612.000000	10012.000000	0.685190	9562.901859	5049.098141	0.654455	17594801.000000	0.000830	0.000569	0.000544	0.000261	0.000261	rle-dict	6830.000000	0.467424	rle-dict	38	26.388889	306082	30.608200	14612.000000	10012.000000	6830.000000	0	0	0	0	85	60	144	0.000548	0.000782	0.002644	144	0.000358	0.000482	0.001755	40	0.000548	0.000733	0.001245	40	0.000651	0.000815	0.001755	104	0.000358	0.000429	0.001751	104	0.000603	0.000854	0.002644
NetMinor	INT(16,true)	57	60	116	1000000	58	58	0	50.000000	50.000000	0.000000	453837	546163	0	45.383700	54.616300	0.000000	24917.000000	24001.000000	0.963238	22474.413499	2442.586501	0.901971	4003586.000000	0.006224	0.005995	0.005614	0.000229	0.000229	rle-dict	21625.000000	0.867881	rle-dict	21	18.103448	188301	18.830100	24917.000000	24001.000000	21625.000000	0	0	0	0	57	60	116	0.003287	0.005374	0.009845	116	0.003897	0.006114	0.008300	58	0.003287	0.004226	0.007324	58	0.003897	0.005277	0.007695	58	0.003933	0.007043	0.008300	58	0.004261	0.008388	0.009845
OpenstatCampaignID	STRING	57	60	116	1000000	50	66	0	43.103448	56.896552	0.000000	359749	640251	0	35.974900	64.025100	0.000000	16542.000000	15897.000000	0.961008	14956.504812	1585.495188	0.904153	4025605.000000	0.004109	0.003949	0.003715	0.000160	0.000160	rle-dict	11958.000000	0.722887	rle-dict	40	34.482759	278097	27.809700	16542.000000	15897.000000	11958.000000	0	0	0	0	57	60	116	0.001787	0.004294	0.006886	116	0.002051	0.004162	0.005818	50	0.001787	0.003064	0.005484	50	0.002055	0.003804	0.005818	66	0.002051	0.004201	0.005437	66	0.002182	0.004707	0.006886
