column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_to_plain_ratio	uncompressed_bytes_for_ratio	plain_snappy_aggregate_to_uncompressed_ratio	rle_dict_snappy_aggregate_to_uncompressed_ratio	rle_dict_ratio_advantage_vs_plain	absolute_plain_rle_ratio_difference	winner_by_allocated_bytes	rle_dict_allocated_compressed_bytes_without_dictionary_pages	rle_dict_without_dictionary_allocated_to_plain_ratio	winner_without_dictionary_pages	rle_dict_without_dictionary_overhead_flip_window_wins	rle_dict_without_dictionary_overhead_flip_window_win_pct	rle_dict_without_dictionary_overhead_flip_rows	rle_dict_without_dictionary_overhead_flip_row_pct	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	rle_dict_total_page_compressed_bytes_without_dictionary_pages	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages	plain_snappy_to_uncompressed_ratio_count	plain_snappy_to_uncompressed_ratio_min	plain_snappy_to_uncompressed_ratio_median	plain_snappy_to_uncompressed_ratio_max	rle_dict_snappy_to_uncompressed_ratio_count	rle_dict_snappy_to_uncompressed_ratio_min	rle_dict_snappy_to_uncompressed_ratio_median	rle_dict_snappy_to_uncompressed_ratio_max	plain_win_plain_snappy_to_uncompressed_ratio_count	plain_win_plain_snappy_to_uncompressed_ratio_min	plain_win_plain_snappy_to_uncompressed_ratio_median	plain_win_plain_snappy_to_uncompressed_ratio_max	plain_win_rle_dict_snappy_to_uncompressed_ratio_count	plain_win_rle_dict_snappy_to_uncompressed_ratio_min	plain_win_rle_dict_snappy_to_uncompressed_ratio_median	plain_win_rle_dict_snappy_to_uncompressed_ratio_max	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_count	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_min	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_median	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_max	rle_dict_win_plain_snappy_to_uncompressed_ratio_count	rle_dict_win_plain_snappy_to_uncompressed_ratio_min	rle_dict_win_plain_snappy_to_uncompressed_ratio_median	rle_dict_win_plain_snappy_to_uncompressed_ratio_max
OpenstatAdID	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	219153.000000	21074.000000	0.096161	4029295.000000	0.054390	0.005230	0.049160	0.049160	rle-dict	13625.000000	0.062171	rle-dict	0	0.000000	0	0.000000	219153.000000	21074.000000	13625.000000	0	0	0	0	61	61	121	0.050569	0.053896	0.059127	121	0.001095	0.005209	0.010679	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001095	0.005209	0.010679	121	0.050569	0.053896	0.059127
UTMSource	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	219144.000000	20395.000000	0.093067	4053511.000000	0.054063	0.005031	0.049031	0.049031	rle-dict	15797.000000	0.072085	rle-dict	0	0.000000	0	0.000000	219144.000000	20395.000000	15797.000000	0	0	0	0	61	61	121	0.050569	0.054341	0.057668	121	0.001095	0.005354	0.008516	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001095	0.005354	0.008516	121	0.050569	0.054341	0.057668
ResolutionDepth	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	283052.000000	87954.000000	0.310734	4003838.000000	0.070695	0.021967	0.048728	0.048728	rle-dict	85689.000000	0.302732	rle-dict	0	0.000000	0	0.000000	283052.000000	87954.000000	85689.000000	0	0	0	0	61	61	121	0.062067	0.071596	0.088406	121	0.016313	0.023128	0.033158	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.016313	0.023128	0.033158	121	0.062067	0.071596	0.088406
Income	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	318283.000000	123378.000000	0.387636	4003839.000000	0.079494	0.030815	0.048680	0.048680	rle-dict	121125.000000	0.380558	rle-dict	0	0.000000	0	0.000000	318283.000000	123378.000000	121125.000000	0	0	0	0	61	61	121	0.071736	0.077518	0.103437	121	0.024437	0.029708	0.045392	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.024437	0.029708	0.045392	121	0.071736	0.077518	0.103437
UTMCampaign	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	230416.000000	31797.000000	0.137998	4097905.000000	0.056228	0.007759	0.048468	0.048468	rle-dict	18846.000000	0.081791	rle-dict	0	0.000000	0	0.000000	230416.000000	31797.000000	18846.000000	0	0	0	0	61	61	121	0.050569	0.056616	0.060025	121	0.001095	0.008619	0.011739	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001095	0.008619	0.011739	121	0.050569	0.056616	0.060025
HasGCLID	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	213611.000000	19957.000000	0.093427	4003840.000000	0.053352	0.004984	0.048367	0.048367	rle-dict	18344.000000	0.085876	rle-dict	0	0.000000	0	0.000000	213611.000000	19957.000000	18344.000000	0	0	0	0	61	61	121	0.050852	0.051444	0.057567	121	0.001297	0.003134	0.010454	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001297	0.003134	0.010454	121	0.050852	0.051444	0.057567
MobilePhoneModel	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	220038.000000	23089.000000	0.104932	4085137.000000	0.053863	0.005652	0.048211	0.048211	rle-dict	19599.000000	0.089071	rle-dict	0	0.000000	0	0.000000	220038.000000	23089.000000	19599.000000	0	0	0	0	61	61	121	0.052255	0.053701	0.057050	121	0.003098	0.005797	0.010281	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.003098	0.005797	0.010281	121	0.052255	0.053701	0.057050
SilverlightVersion2	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	269816.000000	76846.000000	0.284809	4003840.000000	0.067389	0.019193	0.048196	0.048196	rle-dict	75118.000000	0.278405	rle-dict	0	0.000000	0	0.000000	269816.000000	76846.000000	75118.000000	0	0	0	0	61	61	121	0.062843	0.066757	0.082294	121	0.015700	0.018786	0.028145	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.015700	0.018786	0.028145	121	0.062843	0.066757	0.082294
FlashMinor2	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	536824.000000	182660.000000	0.340260	7358098.000000	0.072957	0.024824	0.048133	0.048133	rle-dict	171696.000000	0.319837	rle-dict	0	0.000000	0	0.000000	536824.000000	182660.000000	171696.000000	0	0	0	0	61	61	121	0.067308	0.072310	0.086739	121	0.021794	0.024154	0.033358	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.021794	0.024154	0.033358	121	0.067308	0.072310	0.086739
JavaEnable	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	262070.000000	69720.000000	0.266036	4003839.000000	0.065455	0.017413	0.048041	0.048041	rle-dict	67968.000000	0.259351	rle-dict	0	0.000000	0	0.000000	262070.000000	69720.000000	67968.000000	0	0	0	0	61	61	121	0.060751	0.064757	0.076793	121	0.014366	0.017019	0.025369	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.014366	0.017019	0.025369	121	0.060751	0.064757	0.076793
